kid.score,mom.hs,mom.iq,mom.work,mom.age
99,1,131.8357712,4,27
94,1,101.8171797,1,23
89,1,93.4981963,4,20
119,1,104.0265393,4,26
112,1,103.7086343,4,23
104,0,107.3688632,2,20
92,1,92.55112919,2,19
86,1,94.44258376,2,19
69,1,93.14479086,4,25
45,1,83.4141026,4,22
57,1,71.03740514,2,28
94,1,127.6670589,1,23
104,1,115.6878466,4,23
89,0,90.97625687,1,20
144,1,132.8653369,3,25
52,1,72.50229639,1,26
102,1,100.7106092,4,25
106,1,132.6887997,3,24
98,1,98.54573919,2,22
97,1,115.6657085,3,24
94,1,117.0627998,3,28
111,1,136.4938469,3,23
100,1,106.5484787,2,26
105,1,134.1263066,2,25
90,1,104.6570241,4,26
98,1,99.37856356,2,21
121,1,100.4371938,1,22
106,1,89.52538756,4,26
121,1,120.9229478,4,19
102,1,113.1437691,4,24
64,1,126.4147469,1,29
99,1,122.7371635,4,28
81,1,115.3752667,4,26
69,1,91.60674173,2,20
84,1,88.66032097,2,21
104,1,107.1789636,3,26
104,1,104.969604,4,23
107,1,103.8630334,4,25
88,1,110.0968061,4,21
67,0,88.45431744,1,20
103,0,117.0321396,1,21
94,1,125.6565881,4,22
109,1,122.6010419,4,24
94,1,121.0496304,3,26
98,1,93.14479086,3,25
102,1,99.37856356,3,21
104,1,123.8928074,4,29
114,0,113.0432269,2,20
87,1,115.7711699,3,21
102,1,114.9383455,4,22
77,1,93.62087658,4,23
109,1,121.7480135,1,27
94,1,90.34943603,4,22
93,0,83.41043858,2,20
86,1,99.48646263,4,19
97,1,113.9103755,4,28
97,1,97.59500805,4,19
88,1,89.81582933,4,24
103,1,119.5847392,4,28
87,0,97.38164763,2,24
87,1,84.87741183,4,21
90,1,102.3286483,4,22
65,1,99.2731022,4,24
111,0,99.07504975,4,18
109,1,96.9277,3,25
87,1,108.3132506,2,19
58,1,100.5340719,4,24
87,1,99.48646263,4,19
113,1,113.9876144,3,19
64,0,92.77020117,4,18
78,0,88.02983612,4,21
97,0,106.1115575,4,22
95,0,103.2325486,3,25
75,1,99.2952403,4,23
91,0,106.7420423,3,22
99,1,99.17256003,2,20
108,1,102.4476646,1,23
95,1,92.86771145,4,20
100,1,116.826136,4,20
85,1,85.42457343,1,23
97,0,115.5651663,2,20
108,1,113.1745649,4,29
90,1,106.8610586,1,23
100,1,95.83023613,3,26
82,0,77.10925402,1,22
94,1,89.29080583,2,21
95,1,112.412742,4,20
119,1,110.6439677,1,23
98,1,109.5373972,1,25
100,0,107.9018378,1,18
112,1,104.969604,2,23
136,0,107.6827658,2,19
122,1,109.4663213,2,21
126,1,133.532645,1,19
116,1,128.8090124,2,22
98,1,101.2700181,4,21
94,1,87.316028,4,23
93,1,118.0907698,4,22
90,1,120.2556397,2,25
70,1,90.34577201,4,20
110,1,79.90460884,4,25
104,1,136.5771702,4,21
83,1,102.4255265,2,24
99,1,132.6887997,4,24
81,1,96.29721515,3,25
104,1,118.209786,4,23
109,1,118.0907698,4,22
113,1,101.5045999,2,26
95,0,94.33468469,2,21
74,1,84.67140829,1,20
81,1,86.7688664,2,21
89,1,129.2459336,4,26
93,1,127.7810423,4,28
102,1,106.8610586,2,23
95,1,105.754488,1,25
85,1,117.0321396,4,21
97,1,119.3517395,2,22
92,1,102.7655696,1,26
78,0,108.2053516,3,21
104,1,126.4147469,4,29
120,1,101.900503,2,21
83,0,99.15625564,2,17
105,1,91.81274526,1,21
68,1,84.14146561,4,24
104,1,84.35482604,4,19
80,1,79.11972485,2,23
120,1,91.41684213,4,26
94,1,90.44631419,2,24
81,1,79.00070859,4,22
101,1,109.2639818,4,22
61,1,76.75218455,4,25
68,1,97.59500805,4,19
110,1,128.8090124,4,22
89,0,113.6574074,1,17
98,0,114.2066863,2,18
113,1,112.5132842,4,24
50,0,75.3368157,1,23
57,0,81.52264802,2,22
86,1,102.6388869,4,19
83,1,101.1866949,1,23
106,1,112.2228424,4,26
106,0,123.408064,3,25
104,1,86.56652689,3,22
78,1,100.1169475,2,19
99,1,102.3286483,3,22
91,1,87.94651286,1,23
40,0,80.25801429,1,20
42,0,80.25801429,1,20
69,1,91.07679905,4,24
84,1,85.57897256,4,25
58,1,113.1659072,4,23
42,1,112.0593366,2,25
72,1,101.2700181,3,21
80,0,81.83288661,1,19
58,0,81.09450268,3,21
52,1,81.3290844,4,26
101,1,120.6090452,3,20
63,1,102.4476646,4,23
73,1,90.97625687,2,20
68,1,103.7086343,4,23
60,1,102.3286483,4,22
69,1,121.8700149,4,20
73,0,88.66032097,1,21
75,0,90.02918976,1,19
20,0,83.53311886,2,23
56,1,91.92064433,2,19
49,1,87.19334773,1,20
71,0,80.46401782,4,21
46,0,84.31800285,1,25
54,0,77.73973888,3,22
54,0,82.27214914,1,23
44,1,77.38266941,4,25
74,1,89.71528716,3,20
58,0,79.90460884,2,25
46,1,82.15313288,4,22
76,0,80.26167831,2,22
43,0,77.38266941,4,25
60,0,82.78361774,4,22
58,1,89.20748258,4,23
89,1,89.08846632,4,22
43,0,88.98729202,2,18
94,1,118.9235942,1,21
88,1,83.85102383,4,26
79,1,84.04458746,4,22
87,1,105.0529273,4,21
46,1,107.999348,4,20
95,1,97.38164763,4,24
92,1,103.7919576,4,21
42,0,97.59500805,4,19
62,1,88.66032097,2,21
52,1,107.2468617,2,27
101,1,89.83796743,2,23
97,1,108.9069123,4,25
85,1,100.6395333,3,21
98,1,118.8402709,1,23
94,1,95.51233116,2,23
90,1,84.77195047,2,24
72,1,100.7474323,1,19
92,1,87.00344812,1,26
75,0,77.85875513,4,23
83,1,85.30189315,4,20
64,1,92.77020117,1,18
101,1,74.86072998,4,25
82,1,115.2485841,4,19
77,1,107.3725272,4,22
101,1,102.2029829,4,27
50,1,97.91159031,4,20
90,1,96.85662413,4,21
103,1,111.4656749,2,19
96,1,109.4663213,3,21
50,1,82.25001104,4,24
47,1,92.77020117,4,18
73,1,115.5688303,2,22
62,0,84.04458746,4,22
77,1,116.1993152,4,22
64,1,99.2952403,4,23
52,1,87.19334773,2,20
61,1,76.71176886,4,28
86,1,80.69859954,2,26
41,0,82.46337146,1,19
83,1,85.1798917,4,27
64,1,93.07371498,4,21
83,1,88.57699772,4,23
116,1,103.0560113,4,24
100,0,86.87676547,3,19
42,0,97.91525433,4,22
74,1,120.9229478,4,19
76,1,91.72942201,4,23
92,1,87.50725033,4,19
98,1,90.44631419,4,24
96,1,84.16360371,3,23
67,1,96.65428461,4,22
84,1,95.70355348,2,19
111,1,88.76822004,4,19
41,0,92.13971631,1,18
68,1,108.0030121,3,22
107,1,80.38935225,3,29
82,0,99.80304488,4,20
89,1,90.02918976,4,19
83,1,93.93878156,4,26
73,1,103.7086343,4,23
74,1,77.10925402,4,22
94,1,117.5571631,2,24
58,1,79.83353296,2,21
76,1,83.61644211,2,21
61,1,88.73139685,4,25
38,1,82.78361774,4,22
100,1,86.87676547,4,19
84,1,88.73139685,4,25
99,1,92.24089061,4,22
86,1,90.55177555,1,21
94,1,84.14146561,4,24
90,1,93.07371498,2,21
50,0,85.83486773,2,18
112,1,98.85597777,4,19
58,1,95.51233116,2,23
87,1,101.0676786,2,22
76,1,85.93237801,1,20
68,1,82.78361774,2,22
110,1,98.66475544,2,23
88,0,82.14946886,3,20
87,0,85.61579575,1,19
54,0,79.43762983,1,26
49,0,75.3368157,1,23
56,1,80.89216317,2,22
79,1,115.7711699,3,21
82,1,97.159104,4,27
80,0,80.89216317,1,22
60,1,79.50552798,4,27
102,1,98.01213248,4,24
87,1,108.8664966,4,28
42,0,80.69859954,4,26
119,1,100.7474323,4,19
84,1,91.09893715,4,23
86,1,82.98595725,1,21
113,1,89.71528716,4,20
72,1,131.0107055,4,19
104,1,124.5146346,4,23
94,1,91.61040575,4,22
78,0,92.99039172,1,23
80,0,91.88382114,1,25
67,0,88.69098116,1,28
104,1,126.0935093,3,26
96,0,84.98531089,3,19
65,0,82.98595725,1,21
64,1,101.7950416,3,24
95,1,100.2436301,2,26
56,1,110.0134829,4,23
75,0,88.57699772,2,23
91,1,106.7420423,3,22
106,1,95.2921406,2,18
76,1,108.3132506,1,19
90,1,110.3313879,3,26
108,1,116.8298001,4,22
86,0,86.68554314,1,23
85,1,96.85662413,2,21
104,0,90.24826174,1,18
87,1,89.29080583,4,21
41,0,74.23024512,1,25
106,0,91.88382114,4,25
76,0,96.46072099,3,26
100,0,97.40378573,4,23
89,1,131.5332913,4,21
42,1,78.24455827,2,27
102,1,127.6757166,4,29
104,1,124.5146346,4,23
59,0,80.46401782,4,21
93,0,74.86072998,2,25
94,0,84.87741183,4,21
76,1,92.99039172,4,23
50,0,94.85970819,2,24
88,1,96.85662413,2,21
70,1,91.25333628,2,25
